name,fold,train_score,test_score,extime
9,  1, -1.7356791496276855, -1.4719663858413696, 5552.959358215332
5,  1, -1.7519335746765137, -1.4319627285003662, 7902.737882137299
2,  1, -1.8467075824737549, -1.501998782157898, 8034.749517917633
7,  1, -1.8052667379379272, -1.4888464212417603, 8284.995412111282
3,  1, -1.5796759128570557, -1.4159029722213745, 8899.06509566307
0,  1, -1.75564444065094, -1.4769924879074097, 10260.007321596146
8,  1, -1.7883610725402832, -1.403382420539856, 10354.405971765518
6,  1, -1.8777955770492554, -1.4463838338851929, 11081.08396100998
4,  1, -1.8298993110656738, -1.4357876777648926, 11428.408963441849
1,  1, -1.8625469207763672, -1.5225144624710083, 12509.116558551788
9,  2, -1.7105250358581543, -1.3811681270599365, 9447.680338859558
2,  2, -1.8885139226913452, -1.4760335683822632, 7824.5204355716705
5,  2, -1.805065631866455, -1.43980073928833, 8621.435629367828
0,  2, -1.7503455877304077, -1.383490800857544, 9404.496043205261
3,  2, -1.7221903800964355, -1.411529302597046, 10785.955794811249
7,  2, -1.7810389995574951, -1.3864121437072754, 12069.25642824173
6,  2, -1.9183037281036377, -1.4744185209274292, 10521.036760568619
4,  2, -1.7235093116760254, -1.4188240766525269, 10357.054146051407
8,  2, -1.820578932762146, -1.380484938621521, 12979.511231660843
1,  2, -1.8324156999588013, -1.393079400062561, 12282.998170375824
2,  3, -1.6398484706878662, -1.3592559099197388, 10681.415998458862
5,  3, -1.6891151666641235, -1.2627652883529663, 10271.226236820221
9,  3, -1.6066417694091797, -1.258943796157837, 12204.711036682129
7,  3, -1.5794163942337036, -1.354064702987671, 8401.658721446991
3,  3, -1.811934232711792, -1.2919799089431763, 10097.919832468033
1,  3, -1.5167149305343628, -1.2366023063659668, 6093.20814704895
6,  3, -1.4693529605865479, -1.2909767627716064, 10963.265431404114
4,  3, -1.5863080024719238, -1.3428906202316284, 11470.809074401855
8,  3, -1.491767406463623, -1.267488956451416, 10010.216976881027
5,  4, -1.7086496353149414, -1.5037200450897217, 8129.812638282776
9,  4, -1.9899142980575562, -1.477688193321228, 8108.076480150223
0,  3, -1.775553822517395, -1.4062957763671875, 17891.842571735382
2,  4, -1.582822322845459, -1.4615880250930786, 11163.917778730392
7,  4, -1.8050328493118286, -1.5148537158966064, 11621.639055967331
1,  4, -1.7300024032592773, -1.5172109603881836, 10086.23204255104
3,  4, -1.7065503597259521, -1.4775341749191284, 11849.181912660599
6,  4, -1.6599352359771729, -1.5404677391052246, 9237.776181459427
4,  4, -1.869240403175354, -1.5084929466247559, 9211.515419960022
8,  4, -1.8744385242462158, -1.482597827911377, 10467.6448199749
9,  5, -2.004030227661133, -1.627329707145691, 11960.052194833755
5,  5, -1.9643386602401733, -1.5794445276260376, 14082.683284044266
0,  4, -1.8052436113357544, -1.4670594930648804, 12844.360597372055
4,  5, -1.7667236328125, -1.525667667388916, 9630.436721086502
1,  5, -1.853814721107483, -1.5800504684448242, 11571.967879772186
2,  5, -1.9283829927444458, -1.5126733779907227, 16122.70985174179
7,  5, -1.8874688148498535, -1.5424355268478394, 13733.823214769363
6,  5, -2.07710862159729, -1.5323200225830078, 14256.898576498032
8,  5, -1.8962700366973877, -1.5814335346221924, 12809.149913787842
3,  5, -1.8824527263641357, -1.6055645942687988, 15515.685510873795
0,  5, -2.120713472366333, -1.6137465238571167, 14974.813086271286
