name,fold,train_score,test_score,extime
0,  1, -1.5395272970199585, -1.5570378303527832, -
0,  2, -1.3498039245605469, -1.244753122329712, -
1,  1, -1.7850884199142456, -1.5393285751342773, 1684.3896806240082
1,  2, -1.8454409837722778, -1.5520581007003784, 1767.5287189483643
1,  3, -1.622596263885498, -1.4098137617111206, 1527.489500761032
1,  4, -1.6477371454238892, -1.537794589996338, 1593.224668264389
1,  5, -1.8396565914154053, -1.64474356174469, 1976.0225126743317
2,  1, -1.6902765035629272, -1.5583956241607666, 1504.8975269794464
2,  2, -1.6816991567611694, -1.5272574424743652, 1376.3293812274933
2,  3, -1.6561983823776245, -1.4580731391906738, 1647.888070821762
2,  4, -1.7238709926605225, -1.6019171476364136, 1586.5561745166779
3,  1, -1.831233263015747, -1.583306074142456, 1883.6135618686676
3,  2, -1.675367832183838, -1.4977648258209229, 1618.5419273376465
3,  3, -1.870303750038147, -1.5691356658935547, 1179.0066673755646
3,  4, -1.4192869663238525, -1.4070202112197876, 1616.8954401016235
3,  5, -1.8800537586212158, -1.6648142337799072, 1857.2100403308868
4,  1, -1.7045484781265259, -1.5363062620162964, 1667.3679893016815
4,  2, -1.3845956325531006, -1.2718950510025024, 1437.4034719467163
5,  1, -1.7097821235656738, -1.509985089302063, 1744.9276599884033
5,  2, -1.1261029243469238, -1.081092357635498, 1364.8975641727448
5,  3, -1.439981460571289, -1.274526596069336, 958.2714242935181
5,  4, -1.5033652782440186, -1.466924786567688, 1529.134371995926
5,  5, -1.5434846878051758, -1.4651825428009033, 1521.284375667572
6,  1, -1.9117300510406494, -1.6344746351242065, 2140.5643820762634
7,  1, -1.5174692869186401, -1.3988404273986816, 896.8348355293274
7,  2, -1.6639498472213745, -1.458345651626587, 1012.7842149734497
7,  3, -0.5726332068443298, -0.5175783038139343, 509.9705021381378
7,  4, -1.6794625520706177, -1.5897692441940308, 827.053640127182
7,  5, -1.887255072593689, -1.732103943824768, 1321.039264202118
8,  1, -1.5677086114883423, -1.4530402421951294, 997.5650403499603
8,  2, -1.580648422241211, -1.410996913909912, 894.7449252605438
8,  3, -1.5813177824020386, -1.3796218633651733, 943.7399497032166
8,  4, -1.7937129735946655, -1.601812720298767, 1276.6824600696564
8,  5, -1.8489742279052734, -1.6577695608139038, 1190.4581823349
9,  1, -1.6984366178512573, -1.5243754386901855, 1061.1142194271088
9,  2, -1.681766390800476, -1.538515329360962, 1415.4533305168152
9,  3, -1.7867686748504639, -1.5318081378936768, 903.0688743591309
9,  4, -1.7711565494537354, -1.5806676149368286, 1225.1552476882935
9,  5, -1.7537107467651367, -1.610331416130066, 1202.1627488136292
0,  3, -1.5460238456726074, -1.3741923570632935, 784.6196496486664
0,  4, -1.2970645427703857, -1.2972605228424072, 894.1434190273285
0,  5, -1.8953734636306763, -1.6775716543197632, 1344.8989803791046
4,  3, -1.648222804069519, -1.4420195817947388, 903.3478116989136
4,  4, -1.4669642448425293, -1.433982491493225, 1094.605849981308
4,  5, -1.813157320022583, -1.650936484336853, 1248.9858570098877
6,  2, -1.7884926795959473, -1.5766618251800537, 1084.1846132278442
6,  3, -1.722685694694519, -1.493899941444397, 824.7616276741028
6,  4, -1.6813442707061768, -1.5937103033065796, 1168.4144022464752
6,  5, -1.8250387907028198, -1.6085336208343506, 1168.6776776313782
2,  5, -1.7496871948242188, -1.5825018882751465, 1119.086562871933
